mtitle,budget,rating,genre
"Don Giovanni",7000000,7.2,"None"
"Don Juan DeMarco",25000000,6.5,"Mixed"
"Don't Call Me Frankie",40000,9.1,"None"
"Don't Look Back!",2300000,1.3,"None"
"Don't Say a Word",50000000,6.2,"Drama"
"Donde acaban los caminos",500000,8,"Drama"
"Dong er shi er tiao",2000,3.7,"Mixed"
"Donnie Brasco",35000000,7.6,"Drama"
"Donnie Darko",4500000,8.3,"Drama"
"Donovan's Reef",2686585,6.5,"Mixed"
"Doomed to Failure",1000,7.8,"Mixed"
"Door-to-Door Maniac",100000,4.3,"Drama"
"Doors, The",38000000,6.7,"Drama"
"Doppelganger",3000000,4.1,"None"
"Dorm That Dripped Blood, The",90000,2.5,"None"
"Dorothy Vernon of Haddon Hall",750000,7.2,"Mixed"
"Dot.Kill",6000000,5,"None"
"Double Impact",16000000,4.5,"Action"
"Double Indemnity",927262,8.5,"Drama"
"Double Jeopardy",40000000,5.9,"Drama"
"Double Take",24000000,4.8,"Mixed"
"Double Tap",8000000,5.3,"Action"
"Double Whammy",4000000,5.6,"Mixed"
"Doug's 1st Movie",5000000,4.5,"Mixed"
"Down",15000000,4.5,"Action"
"Down Time",20000,3.5,"Drama"
"Down and Out with the Dolls",1200000,6,"Comedy"
"Down by Law",1100000,7.6,"Mixed"
"Down to Earth",30000000,5.1,"Mixed"
"Down to You",9000000,4.7,"Mixed"
"Downtime",16000,5.6,"None"
"Dr T and the Women",12000000,4.8,"Mixed"
"Dr. Dolittle 2",72000000,5.1,"Comedy"
"Dr. Jekyll and Mr. Hyde",1140000,7.6,"Drama"
"Dr. Jekyll and Ms. Hyde",8000000,4.2,"Comedy"
"Dr. Monica",167000,5.4,"Drama"
"Dr. No",1100000,7.2,"Action"
"Dr. Phibes Rises Again",75000,6.3,"Romance"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1800000,8.7,"Comedy"
"Dracula",40000000,7.1,"Mixed"
"Dracula 2000",28000000,4.9,"None"
"Drag",25000,7.8,"Short"
"Drag Queen Heist",5000,8.6,"Short"
"Dragnet",500000,6.3,"Drama"
"Dragon: The Bruce Lee Story",14000000,6.7,"Mixed"
"Dragonfly",60000000,5.8,"Drama"
"Dragonslayer",18000000,6.4,"Action"
"Dragonwyck",1900000,6.7,"Mixed"
"Dragstrip Girl",100000,4.7,"Mixed"
"Draw the Pirate",50000,8.5,"Mixed"
"Dream on Silly Dreamer",65000,7.7,"Mixed"
"Dream with the Fishes",1000000,6.5,"Mixed"
"Dream-Quest of Unknown Kadath, The",5000,7.6,"Animation"
"Dreamaniac",60000,4.3,"None"
"Dreamcatcher",68000000,5.2,"None"
"Dreamer: The Movie",23500,9,"Drama"
"Dress, The",80000,8.4,"Short"
"Dressed to Kill",6500000,6.9,"None"
"Drifting",3000,9.9,"Mixed"
"Driftwood",5000,4.1,"Short"
"Driller Killer, The",20000,4.4,"Drama"
"Drive",3500000,6.4,"Mixed"
"Drive Me Crazy",8000000,5.1,"Mixed"
"Drive-in Movie Memories",225000,8.3,"Documentary"
"Driven",72000000,4.4,"Mixed"
"Driving Miss Daisy",7500000,7.4,"Mixed"
"Drop Back Ten",600000,4.8,"Mixed"
"Drop Squad",2000000,3.9,"Drama"
"Drop Zone",45000000,5.5,"Action"
"Drowning Mona",16000000,5.4,"Comedy"
"Drugstore Cowboy",2500000,7.4,"Drama"
"Drum",3600,4,"None"
"Drumline",20000000,5.3,"Mixed"
"Du Barry Was a Lady",1239222,6.1,"Comedy"
"Duck, Duck, Goose!",20000,8.8,"Mixed"
"Dude, Where's My Car?",13000000,4.6,"Comedy"
"Dudley Do-Right",22000000,3.6,"Comedy"
"Due occhi diabolici",9000000,5.3,"Comedy"
"Duel at Apache Wells",150000,5.6,"None"
"Duel in the Sun",8000000,7,"Drama"
"Duellists, The",900000,7.4,"Mixed"
"Duets",15000000,5.8,"Mixed"
"Dumb & Dumber",16000000,6.6,"Comedy"
"Dumb and Dumberer: When Harry Met Lloyd",19000000,3.3,"Comedy"
"Dumbo",950000,7.4,"Mixed"
"Dune",45000000,6.3,"Action"
"Dungeons & Dragons",35000000,4,"Action"
"Duplex",40000000,5.7,"Comedy"
"Dusting Cliff 7",1300000,3.5,"Mixed"
"Dying Gaul, The",4000000,4.3,"Mixed"
"DysFunktional Family",3000000,5.6,"Mixed"
"E-mail",1000000,4.1,"Mixed"
"E.T. the Extra-Terrestrial",10500000,7.8,"Drama"
"Eagle Has Landed, The",6000000,6.7,"Drama"
"Earl's Your Uncle",10000,9.1,"Mixed"
"Earth Girls Are Easy",10000000,5,"Comedy"
"Earthquake",7000000,5.2,"Mixed"
"East of Hope Street",100000,5.6,"Drama"
"Easter Parade",2503654,7.4,"Romance"
"Easy Rider",340000,7.2,"Mixed"
"Eat My Dust!",300000,4.5,"Comedy"
"Eating",60000,9.1,"Mixed"
"Eating Out",50000,6.8,"Comedy"
"Eating Raoul",350000,6.4,"Comedy"
"Eban and Charley",30000,4.5,"Drama"
"Ed Mort",1500000,6.8,"Comedy"
"Ed Wood",18000000,8,"Mixed"
"Ed and His Dead Mother",1800000,5.3,"Comedy"
"Eddie",30000000,4.9,"Comedy"
"Edge of Eternity",700000,5.8,"Mixed"
"Edgeplay",80000,7.2,"Documentary"
"Edges of the Lord",7500000,7,"Drama"
"Edmund",10000,8.7,"Mixed"
"Edtv",60000000,6.2,"Comedy"
"Edward Scissorhands",20000000,7.7,"Mixed"
"Eegah",15000,1.9,"None"
"Egyptian, The",5000000,5.7,"Drama"
"Ehad Mishelanu",500000,7.1,"Drama"
"Eight Legged Freaks",30000000,5.5,"Mixed"
"Eight Men Out",6000000,7.3,"Drama"
"Eighteenth Angel, The",25000000,4.6,"Action"
"El Cid",6250000,7.1,"Mixed"
"Election",8500000,7.4,"Comedy"
"Elegante, El",2500,8.6,"Mixed"
"Elektra",43000000,4.9,"Action"
"Elephant",3000000,7.3,"Drama"
"Elephant Man, The",5000000,8.2,"Drama"
"Elephant's Egg, The",30000,4.6,"Mixed"
"Elevator Movie",25000,6.1,"Drama"
"Elf",33000000,7,"Comedy"
"Elizabeth",25000000,7.6,"Drama"
"Ella Enchanted",35000000,6.5,"Mixed"
"Elliot Flies",1000,4.9,"Mixed"
"Elmer Gantry",3000000,7.8,"Drama"
"Elvira's Haunted Hills",1500000,5.2,"Comedy"
"Elvira, Mistress of the Dark",20000000,5.3,"Comedy"
"Embalmer, The",50000,1.4,"None"
"Embrace of the Vampire",800000,4.2,"None"
"Emma",6000000,6.9,"Mixed"
"Emmett's Mark",4500000,6.2,"Drama"
"Emperor Jones, The",250000,6.1,"Drama"
"Emperor Waltz, The",4070248,6.1,"Mixed"
"Emperor's Club, The",12500000,6.7,"Drama"
"Emperor's New Groove, The",100000000,7.4,"Mixed"
"Empire",3500000,6,"Mixed"
"Empire of the Sun",38000000,7.5,"Drama"
"Employees' Entrance",188000,7.2,"Drama"
"Empty Building, The",170000,9.5,"Mixed"
"En la puta vida",1500000,6.9,"Mixed"
"End of Days",83000000,5.3,"Action"
"End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",60000,7.6,"Documentary"
"End of Violence, The",5000000,5.4,"Drama"
"End of the Affair, The",23000000,7,"Mixed"
"Enemy at the Gates",70000000,7.3,"Mixed"
"Enemy of the State",90000000,7.1,"Mixed"
"Enemy, The",250000,8.2,"Mixed"
"English Patient, The",27000000,7.1,"Mixed"
"Enough",38000000,4.9,"Drama"
"Enraged New World, An",3500,8.9,"Action"
"Enter the Dragon",850000,7.4,"Action"
"Entrapment",66000000,6.1,"Mixed"
"Envy",40000000,4.3,"Comedy"
"Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The",6000,9.5,"Mixed"
"Epiphany: Il inferno",10000,8.8,"Short"
"Equilibrium",20000000,7.6,"Action"
"Era of Vampire, The",1000000,4.2,"Action"
"Eraser",100000000,5.8,"Mixed"
"Eraserhead",10000,7.1,"Drama"
"Erin Brockovich",51000000,7.3,"Drama"
"Ernest Goes to Camp",3000000,4.4,"Comedy"
"Ernest Rides Again",7000000,3.6,"Comedy"
"Ernest Saves Christmas",6000000,4.6,"Comedy"
"Erotic Adventures of Zorro, The",75000,4.2,"Mixed"
"Erotica",4000,1.6,"None"
"Err On the Side of Caution",500000,6,"Drama"
"Escanaba in da Moonlight",1000000,5.5,"Comedy"
"Escape from Chernobourg",2000,3.7,"Mixed"
"Escape from L.A.",50000000,4.8,"Action"
"Escape from New York",6000000,6.8,"Action"
"Escape from the Planet of the Apes",2500000,5.8,"Mixed"
"Eskimo",950000,7,"Drama"
"Espera, La",100000,8.8,"Drama"
"Espinazo del diablo, El",4500000,7.4,"Drama"
"Eternal Embrace",96000,9.6,"Romance"
"Eternal Sunshine of the Spotless Mind",20000000,8.6,"Mixed"
"Eulogy",10000000,6.5,"Mixed"
"EuroTrip",25000000,6.1,"Comedy"
"Eve's Bayou",5000000,7.2,"Drama"
"Evelyn",10000000,7.1,"Drama"
"Even Cowgirls Get the Blues",8000000,4,"Mixed"
"EvenHand",500000,7.3,"Drama"
"Event Horizon",70000000,5.7,"None"
"Ever After",26000000,7,"Mixed"
"Ever in My Heart",243000,5.7,"Mixed"
"Evergon",20000,7.1,"Mixed"
"Everlasting Piece, An",14000000,6.1,"Comedy"
"Every Little Girl's Dream",27000,7.3,"Mixed"
"Everyone Says I Love You",20000000,6.9,"Mixed"
"Everything Is Everything",10000,8.3,"Comedy"
"Everything Put Together",500000,7.1,"Drama"
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",2000000,6.7,"Comedy"
"Everything in This Country Must",250000,7.1,"Mixed"
"Everything's Gone Green",30000,9,"Mixed"
"Everything's Jake",900000,6.7,"Mixed"
"Evil Alien Conquerors",500000,3.8,"Comedy"
"Evil Cult",15000,6.7,"Mixed"
"Evil Dead II",3500000,7.6,"Mixed"
"Evil Dead, The",350000,7.4,"None"
"Evita",55000000,6.2,"Drama"
"Evolution",80000000,5.8,"Comedy"
"Ex-Lady",93000,6.4,"Mixed"
"Excessive Force",13000000,4.2,"Action"
"Executive Decision",55000000,6.3,"Action"
"Exit Wounds",33000000,5.3,"Action"
"Exodus",4000000,6.8,"Mixed"
"Exorcist II: The Heretic",14000000,3.5,"Drama"
"Exorcist, The",1000000,7.9,"Drama"
"Exorcist: The Beginning",30000000,5,"Action"
"Expiration",50000,6.6,"Mixed"
"Explosion",500000,4.9,"Drama"
"Exquisite Corpse",3500,8.9,"Mixed"
"Extreme Measures",38000000,5.9,"None"
"Extreme Ops",40000000,4,"Action"
"Eye for an Eye",20000000,5.6,"Drama"
"Eye of the Beholder",15000000,4.5,"None"
"Eyes Wide Shut",65000000,7,"Drama"
"Eyes of Laura Mars",7000000,5.8,"None"
"F.I.S.T.",11000000,5.7,"Drama"
"Facade",6000000,4.8,"Action"
"Face to Face",8000,6,"Drama"
"Face/Off",80000000,7.1,"Mixed"
"Faces",275000,7.4,"Drama"
"Factotum",1000000,6.8,"Drama"
"Faculty, The",15000000,6.1,"None"
"Fahrenheit 9/11",6000000,7.9,"Documentary"
"Fair Game",50000000,3.9,"Mixed"
"Fair Wind to Java",1250000,5.8,"Mixed"
"Fait d'hiver",80000,7.4,"Mixed"
"Faithful",13000000,5.6,"Comedy"
"Faithless",203420,6.6,"Drama"
"Fake ID",100000,3.6,"Comedy"
"Fakers",1800000,5.6,"Comedy"
"Fall",1000000,5.1,"Mixed"
"Fall",2000000,1.5,"Action"
"Fall of the Roman Empire, The",19000000,6.4,"Drama"
"Falling Words",8000,9.2,"Mixed"
"Falls, The",75000,5.7,"Drama"
"Family Affair, A",190000,6.7,"Mixed"
"Family Man, The",60000000,6.5,"Mixed"
"Family Plot",3000000,6.6,"Comedy"
"Fan, The",55000000,5.4,"None"
"Fando y Lis",100000,6.6,"Drama"
"Fandom",5000,9.2,"Mixed"
"Fantasia",2280000,7.8,"Animation"
"Fantasia/2000",80000000,7.4,"Animation"
"Fantasma dell'opera, Il",10000000,3.8,"Mixed"
"Far and Away",30000000,6.2,"Mixed"
"Far from Heaven",13500000,7.7,"Mixed"
"Far from India",10000,6.1,"Mixed"
"Farewell to Arms, A",4353000,5.6,"Mixed"
"Fargo",7000000,8.2,"Drama"
"Fascination",5000000,3.3,"Mixed"
"Fascist of X-Mart, The",1000,5.1,"Mixed"
"Fast Food High",4500000,5.4,"Mixed"
"Fast Times at Ridgemont High",4500000,7.1,"Comedy"
"Fast and the Furious, The",66000,4.6,"None"
"Fast and the Furious, The",38000000,5.7,"Action"
"Faster, Pussycat! Kill! Kill!",45000,6.5,"Mixed"
"Fatal Attraction",14000000,6.7,"Drama"
"Father of the Bride Part II",30000000,5.6,"Comedy"
"Fathers' Day",85000000,4.7,"Comedy"
"Faust: Love of the Damned",6000000,4.1,"None"
"Fear No Evil",840000,3.9,"None"
"Fear X",6600000,5.9,"None"
"Fear and Desire",20000,6.3,"Drama"
"Fear and Loathing in Las Vegas",18500000,7.2,"Mixed"
"Fear of the Dark",30000,5.5,"Drama"
"FearDotCom",42000000,3.2,"None"
"Fearless Vampire Killers, The",2000000,7,"Comedy"
"Federal Hill",80000,6.1,"None"
"Fedora",6727000,6.2,"Drama"
"Feet First",647000,7,"Comedy"
"Fei ying",15000000,5.5,"Action"
"Female",286000,6.5,"Mixed"
"Female Trouble",25000,7.1,"Comedy"
"Femme Fatale",35000000,6.4,"None"
"Feng yun xiong ba tian xia",10000000,6.3,"Action"
"Festen",1300000,8.2,"Drama"
"Fever",6000000,5.7,"None"
"Fever Pitch",25000,5.8,"Mixed"
"Fever Pitch",39690000,6.6,"Mixed"
"Few Good Men, A",33000000,7.5,"Drama"
"Fiddler on the Roof",9000000,7.6,"Drama"
"Field of Honor, A",1400,7.7,"Mixed"
"Fifteen Minute Show, The",3500,8.9,"Comedy"
"Fifth Element, The",90000000,7.1,"Mixed"
"Fight Club",63000000,8.5,"Drama"
"Fightin' Fools",23627,5.2,"Mixed"
"Fighting Coast Guard",532111,6.6,"Drama"
"Fighting Mad",600000,5.5,"Mixed"
"Film Geek",10000,9.3,"Comedy"
"Film School Confidential",75000,6.4,"None"
"Final",80000,5.2,"Drama"
"Final Destination",23000000,6.6,"None"
"Final Destination 2",26000000,6.3,"None"
"Final Fantasy: The Spirits Within",137000000,6.5,"Mixed"
"Final Sale",20000,6.7,"Mixed"
"Final Solution",1500000,7,"Mixed"
"Finders Keepers, Lovers Weepers!",82000,4,"Drama"
"Finding Forrester",43000000,7.3,"Drama"
"Finding Graceland",10000000,6.6,"Drama"
"Finding Nemo",94000000,8.3,"Mixed"
"Finding Neo",8500,6.8,"Short"
"Fine and Dandy",1000,7.2,"Short"
"Finian's Rainbow",3500000,5.9,"None"
"Fintar o Destino",850000,6.2,"Drama"
"Fire Brigade, The",249556,7.8,"Drama"
"Fire Dancer",1000000,8.2,"Drama"
"Fire Over Afghanistan",155000,4.5,"Mixed"
"Firefox",21000000,5.5,"Action"
"Firestarter",15000000,5.6,"None"
"Firestorm",19000000,4.4,"Action"
"Firm, The",42000000,6.6,"Drama"
"First Blood",14000000,6.8,"Mixed"
"First Great Train Robbery, The",6000000,6.9,"Mixed"
"First Knight",75000000,5.6,"Mixed"
"First Love, Last Rites",300000,5,"Mixed"
"First Power, The",10000000,4.8,"None"
"First Wives Club, The",26000000,5.6,"Comedy"
"First of May, The",2500000,7.1,"Drama"
"Fish Burglars",15000,8.2,"Mixed"
"Fish Called Wanda, A",7500000,7.7,"Comedy"
"Fish in a Barrel",200000,5.5,"Mixed"
"Fisher King, The",24000000,7.4,"Mixed"
"Fishing for Trauster",20000,8.2,"Mixed"
"Five Graves to Cairo",855000,7.6,"None"
"Five Guns West",60000,3.1,"None"
"Fiza",1000000,7.1,"Drama"
"Flame Barrier, The",100000,4.4,"None"
"Flame of Barbary Coast",600000,5.5,"None"
"Flash Gordon",35000000,5.7,"Action"
"Flats, The",500000,7.2,"Mixed"
"Flawless",27000000,6.1,"Mixed"
"Flesh",4000,5.7,"Drama"
"Flesh & Blood",6500000,6.3,"Mixed"
"Flesh Suitcase",1000000,5.2,"None"
"Flesh and the Devil",373000,7.5,"Mixed"
"Flesheater",60000,4.5,"None"
"Flight of the Phoenix",45000000,6,"Action"
"Flintstones in Viva Rock Vegas, The",58000000,3.7,"Comedy"
"Flintstones, The",45000000,4.5,"Comedy"
"Flip",8000,9.1,"Short"
"Flirting with Disaster",7000000,7,"Comedy"
"Flossin",86000,7.9,"None"
"Fly, The",500000,6.8,"None"
"Fly, The",15000000,7,"Drama"
"Flying Down to Rio",462000,6.8,"Mixed"
"Flying Dutchman, The",2000000,3.6,"None"
"Focus Group",8000,9.5,"Mixed"
"Fog, The",1000000,6.5,"None"
"Follow Me Home",220000,7.6,"Drama"
"Follow Me Outside",1000000,4.6,"None"
"Follow the Fleet",747000,7.4,"Mixed"
"Following",6000,7.6,"None"
"Fomlesen i kattepine",2400000,4.6,"None"
"Food of the Gods II",3500000,1.9,"None"
"Foolish Wives",1100000,7.6,"Drama"
"Fools for Scandal",1300000,5.6,"Mixed"
"Footlight Parade",703000,7.6,"Mixed"
"For Caroline",60000,6.7,"Mixed"
"For Love of the Game",50000000,6.1,"Mixed"
"For Me and My Gal",802000,6.9,"Mixed"
"For Whom the Bell Tolls",3000000,7.2,"Mixed"
"For Your Eyes Only",28000000,6.7,"Action"
"Forbidden Planet",1900000,7.7,"Drama"
"Forced March",2700000,4,"Drama"
"Foreign Affair, A",1500000,7.5,"Mixed"
"Foreign Correspondents",500000,7.6,"Mixed"
"Foreigner, The",20000000,3.1,"Action"
"Forever Amber",6000000,6.5,"Drama"
"Forever Lulu",20000000,5.5,"Mixed"
"Forgotten, The",42000000,5.8,"Drama"
"Forrest Gump",55000000,8.2,"Mixed"
"Forsaken, The",5000000,5.1,"None"
"Fort Apache",2500000,7.6,"None"
"Fortress",12000000,5.3,"Action"
"Fortress 2",11000000,4.2,"Action"
"Fortune Cookie, The",3705000,7.4,"Mixed"
"Forty Shades of Blue",1500000,4.2,"None"
"Four Dead Batteries",77000,8.7,"Comedy"
"Four Feathers, The",80000000,6.2,"Drama"
"Four Horsemen of the Apocalypse, The",800000,7.6,"Drama"
"Four Rooms",4000000,6,"Mixed"
"Four Weddings and a Funeral",6000000,7.2,"Mixed"
"Four.50",5000,4.7,"Mixed"
"Frailty",11000000,7.4,"Drama"
"Frame of Mind",30000,7,"Short"
"Francine St. Claire's Mail",10000,6,"Short"
"Francis",150000,6.2,"Mixed"
"Frankenfish",3000000,4.6,"Mixed"
"Frankenhooker",2500000,5,"Comedy"
"Frankenstein",291000,7.9,"Drama"
"Frankenstein",45000000,6,"Drama"
"Frankenstein - 1970",110000,3.9,"None"
"Frankenstein Meets the Spacemonster",60000,2.5,"None"
"Frankenstein's Daughter",60000,3.8,"None"
"Frankie and Johnny",4500000,4.9,"Comedy"
"Fratello sole, sorella luna",3000000,6.4,"Drama"
"Freaked",11000000,5.4,"Comedy"
"Freaks",310607,7.7,"Drama"
"Freaky Friday",26000000,6.9,"Mixed"
"Freddy Got Fingered",15000000,3.5,"Comedy"
"Freddy Vs. Jason",25000000,6.1,"Action"
"Freddy's Dead: The Final Nightmare",5000000,4.3,"Comedy"
"Free Money",30000000,4.7,"Comedy"
"Free, White and 21",40000,1.9,"Drama"
"Freedom Downtime",25000,8,"Documentary"
"Freeway",3000000,6.5,"Drama"
"Freeway II: Confessions of a Trickbaby",2000000,4.6,"Drama"
"Freeze Frame",2000000,5.8,"Drama"
"Frei parken",2000,5.8,"Mixed"
"Freighters of Destiny",39000,5.9,"None"
"French Connection, The",1800000,7.8,"Mixed"
"French Quarter Undercover",2500000,4,"Action"
"Frenzy",3500000,7.3,"None"
"Frequency",31000000,7.4,"Drama"
"Freud",4000000,6.4,"Drama"
"Freud and Darwin Sitting in a Tree",17000,8.3,"Mixed"
"Frida",12000000,7.5,"Drama"
"Friday",3500000,6.7,"Mixed"
"Friday After Next",20000000,4.9,"Comedy"
"Friday Night Lights",30000000,7,"Drama"
"Friday the 13th",700000,5.8,"None"
"Friday the 13th Part 2",1000000,4.9,"Action"
"Friday the 13th Part 3: 3D",4000000,4.3,"None"
"Friday the 13th Part VII: The New Blood",3500000,4.1,"Drama"
"Friday the 13th Part VIII: Jason Takes Manhattan",5000000,3.6,"None"
"Friday the 13th: The Final Chapter",1800000,4.6,"None"
"Friendly Persuasion",3000000,7.5,"Drama"
"Fright Night",9000000,6.5,"Comedy"
"Frisco Jenny",286000,6.6,"Drama"
"Fritz the Cat",1000000,5.8,"Mixed"
"From Beyond",4500000,6,"None"
"From Dusk Till Dawn",20000000,6.8,"Mixed"
"From Hell",35000000,6.8,"None"
"From Here to Eternity",1650000,7.9,"Mixed"
"From Justin to Kelly",12000000,1.7,"Mixed"
"From Russia with Love",2000000,7.3,"Mixed"
"Front Page, The",4000000,7,"Comedy"
"Frostbite",2400000,2.8,"Comedy"
"Frusta e il corpo, La",66500,6.7,"None"
"Fugitive, The",44000000,7.7,"Mixed"
"Fukkatsu no hi",16000000,5.7,"Drama"
"Full Clip",500000,4.1,"Action"
"Full Frontal",2000000,5,"Mixed"
"Full Metal Jacket",30000000,8.2,"Drama"
"Full Monty, The",3500000,7.2,"Comedy"
"Fun with Dick and Jane",3000000,6.2,"Comedy"
"Funny Face",3000000,7.1,"Mixed"
"Funny Girl",14100000,7,"Mixed"
"Fury, The",5500000,6,"None"
"Future of Food, The",750000,9.4,"Documentary"
"G.I. Jane",50000000,5.5,"Mixed"
"G.O.R.A.",5000000,7.2,"Comedy"
"Gabbianella e il gatto, La",6000000,6.8,"Animation"
"Gaily, Gaily",8000000,5.1,"Comedy"
"Gal Young 'Un",94000,5.7,"Drama"
"Galaxy Quest",45000000,7.2,"Comedy"
"Galaxy of the Dinosaurs",1250,1.4,"None"
"Gallavants",5000000,8.1,"Animation"
"Gallopin' Gaucho, The",4249,6.2,"Mixed"
"Game of Their Lives, The",20000000,6.4,"Drama"
"Game, The",50000000,7.6,"None"
"Gamers, The",9000,7.1,"Short"
"Gandhi",22000000,8,"Drama"
"Gangs of New York",97000000,7.3,"Drama"
"Gangster Story",75000,4.5,"Drama"
"Ganz und gar",1400000,8.2,"None"
"Garage Days",6000000,5.6,"Mixed"
"Garden State",2500000,8.1,"Mixed"
"Garden of Allah, The",2200000,6.2,"Mixed"
"Garfield",50000000,4.8,"Mixed"
"Gathering, The",18000000,5.8,"None"
"Gattaca",36000000,7.6,"Drama"
"Gatto a nove code, Il",1000000,6.3,"Drama"
"Gatto nel cervello, Un",100000,5.6,"None"
"Gauntlet, The",5500000,6,"Mixed"
"Gay Divorcee, The",520000,7.6,"Mixed"
"Gay by Dawn",8000,9,"Mixed"
"General's Daughter, The",60000000,6.1,"Drama"
"Genghis Khan",50000000,7.9,"Action"
"Gentleman's Agreement",2000000,7.4,"Mixed"
"Gentlemen Prefer Blondes",352000,7.3,"Comedy"
"George and the Dragon",32000000,5.5,"Mixed"
"George of the Jungle",55000000,5.5,"Comedy"
"Georgy Girl",400000,7,"Comedy"
"Geronimo: An American Legend",50000000,6.2,"Drama"
"Gerry",3500000,6,"Drama"
"Get Carter",40000000,4.7,"Mixed"
"Get Over It",10000000,5.7,"Mixed"
"Get Shorty",30250000,7,"Mixed"
"Get a Job",750000,2.3,"Comedy"
"Get on the Bus",2400000,6.6,"Drama"
"Getaway, The",3352254,7.3,"Mixed"
"Gettysburg",25000000,7.5,"Drama"
"Ghost",22000000,6.8,"Mixed"
"Ghost Busters",30000000,7.5,"Comedy"
"Ghost Ship",35000000,5.3,"None"
"Ghost Town",100000,4.5,"None"
"Ghost World",7000000,7.8,"Mixed"
"Ghost and the Darkness, The",55000000,6.4,"Mixed"
"Ghost of Slumber Mountain, The",3000,5.3,"Short"
"Ghostbite",250000,3.8,"None"
"Ghosts of Mars",28000000,4.6,"Action"
"Ghosts of Mississippi",36000000,6.4,"Drama"
"Ghosts of the Abyss",13000000,6.6,"Documentary"
"Ghoulies",1000000,3.2,"Comedy"
"Ghouls, The",9000,6.1,"None"
"Giant",5400000,7.5,"Drama"
"Giant Gila Monster, The",138000,2.8,"None"
"Giant Spider Invasion, The",300000,2.3,"None"
"Giardini dell'Eden, I",4000000,6.8,"Drama"
"Gift, The",10000000,6.8,"Drama"
"Gigi",3319355,7,"Mixed"
"Gigli",54000000,2.3,"Mixed"
"Ginger Snaps",5000000,6.8,"Comedy"
"Ginger Snaps: Unleashed",3500000,6.6,"None"
"Gingerbread Man, The",25000000,5.7,"None"
"Giovane Toscanini, Il",14000000,4.7,"Drama"
"Girl 6",12000000,5,"Mixed"
"Girl Crazy",1140850,7,"Comedy"
"Girl Missing",107000,6.1,"Comedy"
"Girl Play",1000000,3.3,"Comedy"
"Girl Wrestler",230000,8,"Documentary"
"Girl from Missouri, The",511000,6.5,"Mixed"
"Girl, Interrupted",24000000,7,"Drama"
"Give My Regards to Broad Street",9000000,4.1,"Drama"
"Give and Take, and Take",18000,7.1,"None"
"Gladiator",103000000,8,"Mixed"
"Glenn Tilbrook: One for the Road",50000,7,"Documentary"
"Glitter",22000000,2.1,"Mixed"
"Global Heresy",12000000,5.7,"Drama"
"Gloria",30000000,4.9,"Drama"
"Glory",18000000,8.1,"Mixed"
"Glove, The",4500,7.2,"Short"
"Gmar Gavi'a",800000,7.5,"Drama"
"Go",6500000,7.4,"Comedy"
"Go Fish",15000,5.8,"Romance"
"Go-Between, The",1000000,7.3,"Mixed"
"Goat on Fire and Smiling Fish",40000,6.3,"Mixed"
"God's Army",300000,6.4,"Drama"
"God's Helper",15000,7,"Mixed"
"Godfather, The",6000000,9.1,"Drama"
"Godfather: Part II, The",13000000,8.9,"Drama"
"Godfather: Part III, The",54000000,7.3,"Drama"
"Gods and Generals",56000000,5.7,"Mixed"
"Gods and Monsters",3500000,7.6,"Drama"
"Godspell",1300000,6.1,"None"
"Godzilla",125000000,4.4,"Action"
"Gog",250000,5,"None"
"Going Greek",198000,4.8,"Comedy"
"Going Hollywood",914000,6.4,"None"
"Gojira",1000000,6.9,"Mixed"
"Gojira ni-sen mireniamu",1000000,5.6,"Action"
"Gold Diggers of 1933",433000,8,"None"
"Gold Raiders",50000,5.5,"Comedy"
"Gold Rush, The",923000,8.3,"Comedy"
"Golden Bowl, The",15000000,6,"Drama"
"Golden Earrings",1000000,6.4,"Romance"
"GoldenEye",80000000,6.8,"Action"
"Goldfinger",3000000,7.8,"Action"
"Goldilocks and the Three Bares",25000,2.7,"Mixed"
"Goldwyn Follies, The",1800000,5.2,"None"
"Gone Fishin'",53000000,3.8,"Comedy"
"Gone in Sixty Seconds",90000000,5.7,"Action"
"Gone with the Wind",3900000,8.1,"Mixed"
"Gong fu",20000000,7.9,"Mixed"
"Good Book, The",9000,6.1,"Action"
"Good Boy!",18000000,4.7,"Mixed"
"Good Burger",9000000,4,"Comedy"
"Good Earth, The",2800000,7.9,"Drama"
"Good Girl, The",5000000,6.9,"Mixed"
"Good Man in Africa, A",20000000,4.6,"Comedy"
"Good Morning, Vietnam",13000000,7.1,"Mixed"
"Good Morning... and Goodbye!",55000,3.5,"Drama"
"Good News",1662718,7.1,"Mixed"
"Good Will Hunting",10000000,7.8,"Drama"
"Good to Go",1500000,3.2,"Drama"
"Goodbye, Mr. Chips",9000000,6.5,"Drama"
"Goodfellas",25000000,8.6,"Drama"
"Goodnight Irene",15000,7.6,"Mixed"
"Goodnite Charlie",100000,9.8,"Action"
"Goonies, The",19000000,7.2,"Comedy"
"Gory Gory Hallelujah",100000,6.4,"Comedy"
"Gosford Park",15000000,7.3,"Drama"
"Gossip",1000,4.4,"Mixed"
"Gothic Romance, A",5000,8.2,"Mixed"
"Gothika",40000000,5.8,"None"
